,image,point,x,y
0,../../aesthetics/mit/males/i1.jpg,0.0,71.0,194.0
0,../../aesthetics/mit/males/i1.jpg,1.0,74.0,220.0
0,../../aesthetics/mit/males/i1.jpg,2.0,80.0,245.0
0,../../aesthetics/mit/males/i1.jpg,3.0,85.0,271.0
0,../../aesthetics/mit/males/i1.jpg,4.0,93.0,296.0
0,../../aesthetics/mit/males/i1.jpg,5.0,109.0,316.0
0,../../aesthetics/mit/males/i1.jpg,6.0,129.0,332.0
0,../../aesthetics/mit/males/i1.jpg,7.0,151.0,346.0
0,../../aesthetics/mit/males/i1.jpg,8.0,175.0,351.0
0,../../aesthetics/mit/males/i1.jpg,9.0,200.0,348.0
0,../../aesthetics/mit/males/i1.jpg,10.0,222.0,335.0
0,../../aesthetics/mit/males/i1.jpg,11.0,242.0,319.0
0,../../aesthetics/mit/males/i1.jpg,12.0,258.0,299.0
0,../../aesthetics/mit/males/i1.jpg,13.0,267.0,275.0
0,../../aesthetics/mit/males/i1.jpg,14.0,273.0,249.0
0,../../aesthetics/mit/males/i1.jpg,15.0,278.0,223.0
0,../../aesthetics/mit/males/i1.jpg,16.0,281.0,197.0
0,../../aesthetics/mit/males/i1.jpg,17.0,89.0,171.0
0,../../aesthetics/mit/males/i1.jpg,18.0,102.0,157.0
0,../../aesthetics/mit/males/i1.jpg,19.0,122.0,152.0
0,../../aesthetics/mit/males/i1.jpg,20.0,143.0,152.0
0,../../aesthetics/mit/males/i1.jpg,21.0,162.0,158.0
0,../../aesthetics/mit/males/i1.jpg,22.0,189.0,157.0
0,../../aesthetics/mit/males/i1.jpg,23.0,210.0,152.0
0,../../aesthetics/mit/males/i1.jpg,24.0,231.0,153.0
0,../../aesthetics/mit/males/i1.jpg,25.0,250.0,159.0
0,../../aesthetics/mit/males/i1.jpg,26.0,263.0,174.0
0,../../aesthetics/mit/males/i1.jpg,27.0,177.0,176.0
0,../../aesthetics/mit/males/i1.jpg,28.0,177.0,192.0
0,../../aesthetics/mit/males/i1.jpg,29.0,178.0,207.0
0,../../aesthetics/mit/males/i1.jpg,30.0,178.0,223.0
0,../../aesthetics/mit/males/i1.jpg,31.0,157.0,240.0
0,../../aesthetics/mit/males/i1.jpg,32.0,167.0,242.0
0,../../aesthetics/mit/males/i1.jpg,33.0,177.0,245.0
0,../../aesthetics/mit/males/i1.jpg,34.0,186.0,243.0
0,../../aesthetics/mit/males/i1.jpg,35.0,196.0,241.0
0,../../aesthetics/mit/males/i1.jpg,36.0,112.0,180.0
0,../../aesthetics/mit/males/i1.jpg,37.0,123.0,172.0
0,../../aesthetics/mit/males/i1.jpg,38.0,137.0,172.0
0,../../aesthetics/mit/males/i1.jpg,39.0,149.0,183.0
0,../../aesthetics/mit/males/i1.jpg,40.0,137.0,186.0
0,../../aesthetics/mit/males/i1.jpg,41.0,122.0,186.0
0,../../aesthetics/mit/males/i1.jpg,42.0,204.0,184.0
0,../../aesthetics/mit/males/i1.jpg,43.0,215.0,173.0
0,../../aesthetics/mit/males/i1.jpg,44.0,230.0,174.0
0,../../aesthetics/mit/males/i1.jpg,45.0,241.0,183.0
0,../../aesthetics/mit/males/i1.jpg,46.0,230.0,188.0
0,../../aesthetics/mit/males/i1.jpg,47.0,216.0,188.0
0,../../aesthetics/mit/males/i1.jpg,48.0,142.0,281.0
0,../../aesthetics/mit/males/i1.jpg,49.0,154.0,272.0
0,../../aesthetics/mit/males/i1.jpg,50.0,167.0,266.0
0,../../aesthetics/mit/males/i1.jpg,51.0,177.0,269.0
0,../../aesthetics/mit/males/i1.jpg,52.0,187.0,267.0
0,../../aesthetics/mit/males/i1.jpg,53.0,199.0,273.0
0,../../aesthetics/mit/males/i1.jpg,54.0,211.0,283.0
0,../../aesthetics/mit/males/i1.jpg,55.0,198.0,287.0
0,../../aesthetics/mit/males/i1.jpg,56.0,186.0,289.0
0,../../aesthetics/mit/males/i1.jpg,57.0,176.0,289.0
0,../../aesthetics/mit/males/i1.jpg,58.0,166.0,288.0
0,../../aesthetics/mit/males/i1.jpg,59.0,154.0,287.0
0,../../aesthetics/mit/males/i1.jpg,60.0,147.0,281.0
0,../../aesthetics/mit/males/i1.jpg,61.0,167.0,277.0
0,../../aesthetics/mit/males/i1.jpg,62.0,176.0,278.0
0,../../aesthetics/mit/males/i1.jpg,63.0,186.0,277.0
0,../../aesthetics/mit/males/i1.jpg,64.0,205.0,282.0
0,../../aesthetics/mit/males/i1.jpg,65.0,186.0,278.0
0,../../aesthetics/mit/males/i1.jpg,66.0,176.0,278.0
0,../../aesthetics/mit/males/i1.jpg,67.0,166.0,277.0
0,../../aesthetics/mit/males/i1.jpg,68.0,173.0,82.0
1,../../aesthetics/mit/females/i3.jpg,0.0,77.0,189.0
1,../../aesthetics/mit/females/i3.jpg,1.0,80.0,217.0
1,../../aesthetics/mit/females/i3.jpg,2.0,86.0,243.0
1,../../aesthetics/mit/females/i3.jpg,3.0,93.0,269.0
1,../../aesthetics/mit/females/i3.jpg,4.0,103.0,294.0
1,../../aesthetics/mit/females/i3.jpg,5.0,117.0,315.0
1,../../aesthetics/mit/females/i3.jpg,6.0,137.0,332.0
1,../../aesthetics/mit/females/i3.jpg,7.0,159.0,345.0
1,../../aesthetics/mit/females/i3.jpg,8.0,186.0,348.0
1,../../aesthetics/mit/females/i3.jpg,9.0,212.0,342.0
1,../../aesthetics/mit/females/i3.jpg,10.0,234.0,327.0
1,../../aesthetics/mit/females/i3.jpg,11.0,252.0,308.0
1,../../aesthetics/mit/females/i3.jpg,12.0,265.0,285.0
1,../../aesthetics/mit/females/i3.jpg,13.0,273.0,259.0
1,../../aesthetics/mit/females/i3.jpg,14.0,278.0,232.0
1,../../aesthetics/mit/females/i3.jpg,15.0,282.0,206.0
1,../../aesthetics/mit/females/i3.jpg,16.0,283.0,179.0
1,../../aesthetics/mit/females/i3.jpg,17.0,92.0,162.0
1,../../aesthetics/mit/females/i3.jpg,18.0,106.0,152.0
1,../../aesthetics/mit/females/i3.jpg,19.0,123.0,148.0
1,../../aesthetics/mit/females/i3.jpg,20.0,141.0,148.0
1,../../aesthetics/mit/females/i3.jpg,21.0,157.0,155.0
