dataset,img_num,nose_width,nose_length,lip_thickness,face_length,eye_height,eye_width,face_width_prom,face_width_mouth,forehead_length,distance_btw_pupils,dist_btw_pupils_top,dist_btw_pupils_lip,chin_length,length_cheek_to_chin,brow_to_hair,fWHR,face_shape,heartshapeness,nose_shape,lip_fullness,eye_shape,eye_size,upper_head_len,midface_len,chin_size,forehead_height,cheek_height,cheek_prominence,face_roundness,imgName,FA,CA,AV
eDataset,0.0,31.1448230048,53.0377224247,12.5,248.58197843,6.5096012026,23.6042510557,156.204993518,132.015150646,121.597697347,62.2012861603,120.754140716,64.8697290826,46.0434577329,116.536849043,101.903140285,1.82645935866,0.628384223607,1.18323535408,0.587220219515,0.0502852221185,0.275780883166,0.0261869393901,0.489165377614,0.260959098855,0.185224439936,0.409937763506,0.468806507131,0.0973113297483,0.531072893858,../../../MIT2kFaceDataset/2kfaces/Aaron_Dollar_13_oval.jpg,665.137514845,112.899426795,32.9468638672
eDataset,1.0,30.0166620396,53.0094331228,15.102196686,240.033331019,8.03893375962,28.5433675799,161.049681776,138.177422179,100.079968026,77.0146090037,106.09547587,68.8385577452,55.4436651025,107.647709466,72.7083213945,1.65159616435,0.670947160096,1.16552819727,0.56625133059,0.0629170816483,0.281639289307,0.03349090614,0.416941962188,0.286787495108,0.230983192489,0.302909271333,0.448469839622,0.0952878481483,0.575659311948,../../../MIT2kFaceDataset/2kfaces/Aaron_Mink_9_oval.jpg,715.992745388,121.421837187,32.5487381051
eDataset,2.0,41.0487515035,52.0096144958,15.0498756211,243.13165158,8.00780488547,30.042504273,171.026313765,148.030402283,105.929221653,79.1280607623,109.706711281,63.4927893931,45.0111097397,118.138551075,83.8629834909,1.92164397489,0.703430888794,1.15534586901,0.789253139088,0.0619001085351,0.266549180211,0.0329360855875,0.435686678244,0.261145716654,0.185130604951,0.344928284516,0.485903625903,0.0945821382476,0.608848750547,../../../MIT2kFaceDataset/2kfaces/Aaron_Turner_13_oval.jpg,677.687401148,117.090081935,66.5587555612
eDataset,3.0,33.0151480384,58.0344725142,15.0453610172,249.288988927,10.280886821,29.6743601907,156.259399717,127.769323392,121.498971189,72.5275809606,119.719724774,69.1139314071,34.0,115.908297668,100.319489632,1.73525179128,0.626820303577,1.22298056818,0.568888569296,0.0603530909326,0.346456899319,0.041240838054,0.487382020812,0.277244220471,0.136387893209,0.402422465845,0.464955544835,0.114285337865,0.512534965712,../../../MIT2kFaceDataset/2kfaces/Ada_Galbreath_19_oval.jpg,680.885889731,111.417994681,19.7733953526
eDataset,4.0,30.083217913,59.6657355607,12.3693168769,246.245812147,9.40504009313,29.7295250726,155.241746963,121.202310209,127.906215643,71.9200945494,126.006448248,78.5250630022,35.4400902933,117.777672059,107.447661678,1.55358309422,0.630434059402,1.28084808528,0.504195877756,0.0502315826978,0.31635352634,0.0381937057574,0.519424937737,0.318888927765,0.143921596003,0.436343102613,0.478293096771,0.138233566113,0.492200493288,../../../MIT2kFaceDataset/2kfaces/Adam_Cauthen_11_oval.jpg,737.639843753,129.309765172,92.4995819468
eDataset,5.0,44.0454310911,58.3095189485,21.5942249584,241.513974751,7.6074511228,32.0743791857,179.12007146,157.003184681,92.2279784014,80.7232927971,100.717426496,66.0647933248,46.0977222865,125.260797474,66.3362645919,1.82448176865,0.741655101512,1.14086903284,0.755372911411,0.0894119066223,0.237181554747,0.0314990100703,0.381874293181,0.27354439176,0.190869792665,0.274668431341,0.518648238072,0.0915760125359,0.650079088976,../../../MIT2kFaceDataset/2kfaces/Adam_Cowart_5_oval.jpg,737.046304411,122.206196985,63.3425967495
eDataset,6.0,41.4366987102,57.5586657246,14.8104354792,250.0979808,8.62340889062,30.05861655,175.251248212,143.401534162,115.260574352,75.953933407,112.314291165,71.3684302168,40.6078810085,125.207224475,89.3322450182,1.83720797186,0.700730360366,1.22210162699,0.71990373975,0.0592185328002,0.286886419948,0.0344801220028,0.460861675027,0.285361880926,0.162367888292,0.357188989422,0.500632688337,0.127348945196,0.57338141517,../../../MIT2kFaceDataset/2kfaces/Adam_Cuthbertson_3_oval.jpg,645.497345289,103.455509178,27.9653800389
eDataset,7.0,32.0156211872,52.1536192416,11.5811388301,248.032255967,7.5433387914,25.1029984537,153.264477293,129.003875911,128.015624046,67.091355628,127.012056514,65.7447714834,34.0587727319,115.96003022,105.558040906,1.74814395446,0.617921554984,1.18806102694,0.613871513669,0.046692067469,0.300495528664,0.0304127330617,0.516124902979,0.265065409445,0.137315901108,0.425581908671,0.467519959321,0.0978122836806,0.520109271304,../../../MIT2kFaceDataset/2kfaces/Adam_Koester_12_oval.jpg,768.347603819,122.354439787,123.646206469
eDataset,8.0,45.0,61.0081961707,20.0276925691,245.165250392,5.5,31.0080624193,188.0,166.075284133,94.7628619239,80.5248408878,97.6428440798,77.6776576246,49.1629942131,133.201847442,76.1593723714,1.92729301598,0.766829718727,1.13201672953,0.737605810769,0.0816905843589,0.177373223958,0.0224338481542,0.386526482738,0.316837959296,0.200530026725,0.310645053691,0.543314548978,0.0894283175592,0.677401401167,../../../MIT2kFaceDataset/2kfaces/Adam_Koester_6_oval.jpg,712.030460213,117.556136749,49.2260504612
eDataset,9.0,31.064449134,52.3450093132,8.58113883008,238.018906812,8.03112887415,24.1655250606,158.533908045,130.552671363,113.600176056,63.1605098143,111.539791106,74.0488813114,47.0425339454,114.033835558,93.4799443731,1.74008329862,0.66605594559,1.21432910097,0.593455795339,0.0360523411565,0.332338273388,0.0337415585246,0.47727374929,0.311105039105,0.197642004895,0.392741675967,0.479095703302,0.11755888243,0.54849706316,../../../MIT2kFaceDataset/2kfaces/Ada_Riddick_15_oval.jpg,732.270323987,118.664010487,36.9366702356
