pair_nums,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
11,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,6.0,3.0,2.0,6.0,6.0,7.0,3.0,4.0,3.0,5.0,2.0,3.0,5.0,4.0,6.0,3.0,4.0,6.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0
12,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
13,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,6.0,5.0,4.0,5.0
14,4.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,4.0,7.0,7.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0
15,6.0,6.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,6.0,5.0,1.0,5.0,7.0,7.0,5.0,4.0,7.0,7.0,2.0,4.0,7.0,4.0,5.0,5.0,6.0,5.0,5.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,1.0,6.0,2.0,3.0,6.0,6.0,3.0,6.0,6.0,6.0,7.0,6.0,6.0,3.0,4.0,4.0,6.0,5.0
16,2.0,3.0,2.0,3.0,4.0,7.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,5.0,4.0
17,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0
18,5.0,4.0,1.0,6.0,6.0,6.0,5.0,4.0,3.0,7.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,7.0,6.0,5.0,4.0,4.0,2.0,6.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,6.0,2.0,3.0,3.0,2.0,1.0,3.0,6.0,6.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0,3.0
19,6.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,6.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,6.0,7.0,6.0,3.0,4.0,5.0,5.0,4.0,2.0,6.0,4.0,5.0,6.0,7.0,6.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,6.0,2.0,5.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0
20,2.0,3.0,3.0,3.0,6.0,3.0,6.0,6.0,3.0,7.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,6.0,3.0,6.0,5.0,2.0,6.0,2.0,7.0,6.0,6.0,7.0,5.0,3.0,3.0,4.0,3.0,7.0,3.0,2.0,2.0,6.0,2.0,3.0,7.0,3.0,3.0,3.0,6.0,7.0,7.0,6.0,7.0,3.0,3.0,7.0,7.0,2.0
21,6.0,6.0,3.0,6.0,6.0,7.0,6.0,6.0,4.0,6.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,7.0,6.0,4.0,6.0,6.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
22,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
23,6.0,5.0,5.0,2.0,5.0,4.0,6.0,4.0,2.0,5.0,4.0,3.0,2.0,1.0,6.0,2.0,7.0,3.0,2.0,4.0,4.0,6.0,4.0,2.0,7.0,6.0,4.0,6.0,6.0,2.0,7.0,6.0,6.0,6.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,5.0,6.0,7.0,6.0,7.0,4.0,7.0,4.0,6.0,5.0
24,5.0,4.0,1.0,5.0,6.0,5.0,4.0,3.0,2.0,7.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,6.0,7.0,4.0,3.0,2.0,4.0,3.0,2.0,7.0,3.0,6.0,5.0,7.0,5.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,6.0,2.0,3.0,7.0,4.0,2.0,3.0,5.0,6.0,6.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0
25,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0
26,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0
27,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
28,4.0,4.0,1.0,4.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0
29,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,7.0,6.0,4.0,5.0,7.0,7.0,6.0,6.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0
30,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
31,4.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,5.0,7.0,6.0,3.0,4.0,4.0,6.0,5.0,3.0,6.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0
32,4.0,3.0,3.0,5.0,4.0,5.0,7.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,6.0,3.0,3.0,5.0,6.0,3.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,6.0,6.0,5.0,7.0,4.0,4.0,4.0,5.0,4.0
33,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
34,4.0,6.0,4.0,3.0,6.0,5.0,6.0,5.0,3.0,7.0,5.0,2.0,2.0,2.0,3.0,6.0,6.0,5.0,4.0,6.0,6.0,7.0,4.0,4.0,7.0,6.0,4.0,5.0,6.0,3.0,6.0,6.0,7.0,5.0,6.0,3.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,7.0,6.0,5.0,7.0,4.0,5.0,5.0,6.0,7.0
35,5.0,5.0,4.0,5.0,6.0,6.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,6.0,3.0,5.0,7.0,5.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,4.0,4.0,6.0,5.0
36,4.0,4.0,3.0,4.0,5.0,7.0,7.0,5.0,4.0,6.0,6.0,4.0,4.0,3.0,6.0,4.0,4.0,4.0,3.0,7.0,7.0,7.0,5.0,4.0,5.0,7.0,4.0,4.0,7.0,4.0,3.0,6.0,5.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
37,3.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,7.0,5.0,6.0,6.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,6.0,4.0,4.0,6.0,3.0,3.0,3.0,4.0,3.0
38,6.0,4.0,3.0,3.0,4.0,6.0,5.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,5.0,7.0,2.0,3.0,7.0,7.0,3.0,2.0,7.0,2.0,7.0,6.0,5.0,5.0,6.0,2.0,2.0,6.0,6.0,5.0,4.0,2.0,2.0,6.0,2.0,2.0,5.0,3.0,2.0,3.0,6.0,6.0,6.0,5.0,6.0,3.0,4.0,5.0,6.0,3.0
39,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
40,6.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,4.0,7.0,6.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,6.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,6.0
41,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
42,3.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,6.0,1.0,3.0,5.0,2.0,7.0,7.0,6.0,6.0,4.0,6.0,7.0,3.0,3.0,7.0,2.0,6.0,5.0,6.0,6.0,7.0,2.0,1.0,1.0,4.0,7.0,4.0,3.0,2.0,5.0,3.0,5.0,7.0,6.0,4.0,3.0,5.0,7.0,7.0,5.0,7.0,4.0,5.0,6.0,7.0,5.0
43,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0
44,6.0,5.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,6.0,5.0,6.0,5.0,4.0,7.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0
45,6.0,5.0,3.0,6.0,6.0,6.0,6.0,4.0,4.0,7.0,3.0,3.0,4.0,3.0,6.0,5.0,7.0,4.0,4.0,7.0,7.0,6.0,5.0,4.0,7.0,7.0,5.0,6.0,6.0,4.0,5.0,4.0,7.0,6.0,4.0,3.0,7.0,5.0,4.0,6.0,4.0,3.0,2.0,6.0,4.0,3.0,6.0,3.0,2.0,5.0,2.0,6.0,6.0,6.0,5.0,3.0,2.0,4.0,6.0,4.0
46,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,6.0,2.0,2.0,3.0,6.0,3.0,2.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0
47,5.0,3.0,1.0,2.0,4.0,5.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,6.0,2.0,5.0,6.0,2.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0
48,4.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,1.0,7.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,5.0,6.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,5.0,2.0
49,5.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0
50,5.0,2.0,1.0,4.0,4.0,6.0,6.0,3.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,6.0,6.0,2.0,3.0,6.0,6.0,3.0,6.0,7.0,3.0,7.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,6.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0
51,2.0,2.0,1.0,2.0,3.0,3.0,5.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,6.0,6.0,3.0,3.0,4.0,5.0,4.0,4.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,6.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,3.0,4.0,5.0,6.0,4.0
52,5.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,7.0,6.0,6.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,2.0,7.0,5.0,6.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,7.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0
53,4.0,6.0,1.0,4.0,3.0,6.0,3.0,3.0,2.0,6.0,5.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,5.0,3.0,7.0,3.0,3.0,7.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0
54,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0
55,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,5.0,5.0,5.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,7.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,6.0,4.0
